token,surprisal
 =,9.58913803100586
 im,13.703916549682617
trans,13.323570251464844
late,2.4667367935180664
(,1.1577293872833252
A,6.5948028564453125
",",1.628699541091919
translation,16.921157836914062
),3.234161615371704
 translates,15.93993854522705
 image,13.172008514404297
 A,8.263715744018555
 by,8.874526977539062
 the,4.804673671722412
 2,9.446357727050781
-,4.57961368560791
D,3.3118090629577637
 or,9.565021514892578
 3,1.742025375366211
-,0.039590828120708466
D,0.02985214628279209
 translation,5.439362049102783
 vector,5.158666133880615
 specified,10.566404342651367
 in,1.0061854124069214
 translation,4.594503879547119
.,2.1917073726654053
